iter	Logloss
0	0.5877463456
1	0.5109273419
2	0.450532801
3	0.3866593784
4	0.3439707943
5	0.3136370312
6	0.2934146196
7	0.2702388123
8	0.2548970374
9	0.2394077406
10	0.2234425217
11	0.211909147
12	0.2034630242
13	0.1971786306
14	0.1904955912
15	0.1858615764
16	0.1813742565
17	0.1756983394
18	0.1705003321
19	0.1676446358
20	0.1644255248
21	0.1620431142
22	0.1597693525
23	0.1580864801
24	0.1564377414
25	0.1543689278
26	0.1523581958
27	0.1503499709
28	0.1469957771
29	0.1459610906
30	0.1447521382
31	0.1435987463
32	0.1427604527
33	0.1417451112
34	0.1407386373
35	0.1398144232
36	0.1383603762
37	0.1373328281
38	0.1355181577
39	0.1344930134
40	0.1337597738
41	0.1329635089
42	0.132165329
43	0.1312813202
44	0.1302064638
45	0.129305441
46	0.1285986094
47	0.1268637457
48	0.126570316
49	0.1263444864
50	0.1259897959
51	0.1239827834
52	0.1233045709
53	0.1228581256
54	0.1221309694
55	0.1217861146
56	0.1212128879
57	0.11985854
58	0.1190255403
59	0.1182285728
60	0.1177983873
61	0.1169369659
62	0.1166044188
63	0.1155501455
64	0.1150915242
65	0.114859247
66	0.1142821786
67	0.1139403456
68	0.1134088162
69	0.1130741825
70	0.1122910406
71	0.1114987537
72	0.1108289013
73	0.1102604468
74	0.1100047646
75	0.1092701317
76	0.1087855347
77	0.1085066142
78	0.1083617356
79	0.108046811
80	0.1073687629
81	0.1071892407
82	0.1070268406
83	0.1064304931
84	0.1061972644
85	0.1060307194
86	0.1058360817
87	0.1055657892
88	0.1052884735
89	0.1050287616
90	0.1048017431
91	0.1043284645
92	0.1040464894
93	0.1034102703
94	0.1032071973
95	0.1029633057
96	0.10252351
97	0.1024072481
98	0.102278164
99	0.1019199302
100	0.1016880361
101	0.101503112
102	0.1011939088
103	0.1010147109
104	0.1008304517
105	0.1007441082
106	0.1005024653
107	0.100196695
108	0.1000642744
109	0.09994326851
110	0.09942859806
111	0.09928470397
112	0.09909431685
113	0.09897494867
114	0.09857701007
115	0.09843431666
116	0.09831134407
117	0.09797805913
118	0.09773748766
