Model Name,ROC-AUC Score
CatBoost,0.9956180474019223
XGBoost,0.9952422288093378
HistGradient Boosting,0.9951138347548418
Random Forest,0.9938879020130469
Gradient Boosting,0.9875033909094856
AdaBoost,0.9691466457303
Logistic Regression,0.9651553303580648
Decision Tree,0.9435165753468767
